Item Kas,Satuan,Jenis Item,Kategori Akun
Sosis Sapi,gram,HPP,HPP
Sound/Speaker,pcs,Peralatan,Beban Operasional
Spatula/sutil,pcs,Perlengkapan,Beban Operasional
Spidol,pcs,Beban ATK,Beban Operasional
Spons Cuci Piring,pcs,Janitorial,Beban Penjualan
Staples,pcs,Beban ATK,Beban Operasional
S-tee  Kotak,pcs,HPP,HPP
S-Tee Pet,pcs,HPP,HPP
Steker (colokan kepala kabel),pcs,Pemeliharaan Gedung,Beban Operasional
Stempel/Cap,pcs,Peralatan,Beban Operasional
Steples,pcs,Beban ATK,Beban Operasional
Sterofoam Kecil (tf 2),pcs,HPP,HPP
Sterofoam Sedang (tf 2),pcs,HPP,HPP
Sticker,pcs,Perlengkapan,Beban Penjualan
Stop Kontak,pcs,Pemeliharaan Gedung,Beban Operasional
Stop Pic,pcs,Perlengkapan,Beban Operasional
Sulak/Kemoceng,pcs,Peralatan,Beban Operasional
Sumbangan,,Sumbangan,Beban Operasional
Susu UHT,ml,HPP,HPP
Tahu,pcs,Mix Vegeatable,Beban Penjualan
Talenan,pcs,Biaya Promo Lainnya,Beban Marketing
Tali Rafia,pcs,"Plastik, Tissue, Sedotan, Sealer",Beban Penjualan
Tandon,pcs,Pemeliharaan Gedung,Beban Operasional
Tang,pcs,Perlengkapan,Beban Operasional
Tape Dispenser,pcs,Peralatan,Beban Operasional
Tas Ronjot/Tas Obrok/Tas Kurir,pcs,Peralatan,Beban Operasional
Teflon/Panci,pcs,Peralatan,Beban Operasional
Teh Botol,pcs,HPP,HPP
Teh Celup,pcs,HPP,HPP
Teh Gelas Botol,pcs,HPP,HPP
Teh Kotak,pcs,HPP,HPP
Teh Pucuk Harum,pcs,HPP,HPP
Teko Air,pcs,Peralatan,Beban Operasional
Telepon,,Telepon Kantor,Beban Operasional
Telur Ayam,pcs,HPP,HPP
Tempat Ayam Ungkep (Box),pcs,Peralatan,Beban Operasional
Tempat Sabun Pembersih Meja (Cling),pcs,Janitorial,Beban Operasional
Tempat Saus (Stainnless),pcs,Peralatan,Beban Operasional
Tempat/Tong Sampah,pcs,Peralatan,Beban Operasional
Tempe,pcs,Mix Vegeatable,Beban Penjualan
Tepung Krispy,gram,HPP,HPP
Terasi,gram,Mix Vegeatable,Beban Penjualan
Tester,pcs,Biaya Promo Lainnya,Beban Marketing
Tetelan Dori (trimming),gram,HPP,HPP
Thermostat/Pengatur Suhu,pcs,Peralatan,Beban Operasional
THR Karyawan,,,Beban Gaji
Tiang Balon,pcs,Perlengkapan,Beban Operasional
Tikar/Karpet,pcs,Peralatan,Beban Operasional
Timbangan Digital,pcs,Peralatan,Beban Operasional
Timer,pcs,Peralatan,Beban Operasional
Timun,gram,Mix Vegeatable,Beban Penjualan
Tinta Cap (yamura),pcs,Peralatan,Beban Operasional
Tinta Isi Ulang Spidol,pcs,Beban ATK,Beban Operasional
Tissu,pack,"Plastik, Tissue, Sedotan, Sealer",Beban Penjualan
Token Listrik (Prabayar),,Listrik,Beban Operasional
Tomat,gram,Mix Vegeatable,Beban Penjualan
Tomat Hijau,gram,Mix Vegeatable,Beban Penjualan
Tomat sachet,pcs,HPP,HPP
Top Up OVO (Grab),,Saldo,
Topi Cooking Class,pcs,Perlengkapan,Beban Penjualan
Topi Ultah,pcs,Perlengkapan,Beban Penjualan
Toples,pcs,Beban ATK,Beban Operasional
Tortila Supermini Ori (18cm),PCS,HPP,HPP
Transportasi Kerja,,Transportasi Harian,Beban Operasional
Travel (biaya titip barang),,Beban Ekspedisi,Beban Operasional
Tray Tatakan Ayam,pcs,Peralatan,Beban Operasional
Triplek,pcs,Perlengkapan,Beban Operasional
Tumbukan Geprek,pcs,Peralatan,Beban Operasional
Turbo Torch,pcs,Peralatan,Beban Operasional
Tusuk Gigi,pcs,Perlengkapan,Beban Penjualan
Tusuk Sate,pcs,Perlengkapan,Beban Penjualan
Tusukan Nota/Kertas,pcs,Beban ATK,Beban Operasional
Tutup Bak Kontrol,pcs,Peralatan,Beban Operasional
Umbul-Umbul,pcs,Leaflet Brosur Poster Flyer,Beban Marketing
Undangan Ulang Tahun,pcs,Perlengkapan,Beban Penjualan
Upah Lembur Karyawan,,Gaji Karyawan,Beban Operasional
Visit Store/Kompetitor,,Visit Store/Kompetitor,Beban Marketing
Wadah plastik (donat),pcs,Peralatan,Beban Operasional
Water cleaner,ml,Janitorial,Beban Operasional
Tagihan WIFI,,Internet,Beban Operasional
Wijen,gram,Perlengkapan,Beban Penjualan
Wipol/Sabun Lantai,pcs,Janitorial,Beban Penjualan
Wraping Film/plastik,pack,"Plastik, Tissue, Sedotan, Sealer",Beban Penjualan
